1;+;Allocations;
2;+;Allocation chômage;
2;+;Allocation familiales;
2;+;Allocation logement;
2;+;Allocation scolaire et bourse;
2;+;RSA;
1;-;Auto / Moto;
2;-;Accessoires et habillement;
2;-;Assurances;
2;-;Carburant;FUEL
2;-;Contraventions;
2;-;Entretien / Réparation;VRPR
2;-;Financement;
2;-;Parking;
2;-;Péages;
1;-;Education et famille;
2;-;Activités enfants;
2;-;Argent de poche;
2;-;Assurance scolaire;
2;-;Cours, soutien scolaire;
2;-;Frais de scolarité;
2;-;Garde d'enfants;
2;-;Livres, fournitures;
2;-;Pensions;
2;-;Restauration scolaire;
1;-;Impôts et taxes;
2;-;Autres impôts;
2;-;Contributions sociales;
2;-;Impôt sur la fortune;
2;-;Impôts sur revenu;
2;-;Taxe foncière;
2;-;Taxe habitation;
1;-;Logement;
2;-;Assurance habitation;
2;-;Eau;
2;-;Emprunt immobilier;
2;-;Énergie (électricité, gaz);
2;-;Frais exceptionnels;
2;-;Internet, TV;
2;-;Loyer, charges;
2;-;Mobilier, électroménager, décoration;
2;-;Services à domicile;
2;-;Téléphonie;
2;-;Travaux, entretien;
1;+;Pensions et rentes;
2;+;Pensions;
2;+;Rente viagère;
2;+;Retraite complémentaire;
2;+;Régime général;
1;+;Remboursements;
2;+;Assurances;
2;+;Autres remboursements;
2;+;Crédit d'impôt;
2;+;Frais de santé;
2;+;Frais professionnels;
2;+;Frais vie quotidienne;
1;+;Revenus de placement;
2;+;Crypto monnaies;
2;+;Revenus épargne bancaire;
2;+;Revenus épargne financière;
2;+;Revenus placement boursier;DIVD
2;+;Revenus placement immobiliers;
1;+;Revenus de travail;
2;+;Primes;
2;+;Salaire;
2;+;Services;
1;+;Revenus divers;
2;+;Cadeaux;
2;+;Cashback;
2;+;Gains jeux;
2;+;Héritages et dons;
2;+;Internet;
2;+;Vente occasion;
1;-;Santé et prévoyance;
2;-;Complémentaire santé;
2;-;Cotisation prévoyance;
2;-;Dentiste;
2;-;Médecins et frais médicaux;
2;-;Optique, audition;
2;-;Pharmacie et laboratoire;
1;-;Services financiers et professionnels;
2;-;Assurances;
2;-;Conseil financier et juridique;
2;-;Frais bancaires et de gestions;
2;-;Retrait cash;
2;-;Transfert d’argent;
1;-;Sports et loisirs;
2;-;Cotisation / association;
2;-;Électronique et informatique;
2;-;Équipements sportifs et artistiques;
2;-;Jeux et paris;
2;-;Musique, livres, films;
2;-;Passion, hobby, …;
2;-;Restaurants, soirées;
2;-;Sorties culturelles;
2;-;Sorties détente;
1;-;Vie quotidienne;
2;-;Alimentation;
2;-;Animaux domestiques;
2;-;Bien être et soins;
2;-;Bricolage et jardinage;
2;-;Cadeaux;
2;-;Crédit conso;
2;-;Dons caritatifs;
2;-;Frais et autres dépenses;
2;-;Frais professionnels;
2;-;Laverie, pressing;
2;-;Shopping, e-Commerce;
2;-;Snacks, repas au travail;
2;-;Tabac, presse, courrier;
2;-;Vêtements et accessoires;
1;-;Voyages et transports;
2;-;Agence de voyages;
2;-;Hébergement;
2;-;Location de voiture;
2;-;Taxis et VTC;
2;-;Transports (train, avion);
2;-;Transports quotidiens;
